index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
36,League,David Warner,Hyderabad,SRH,KKR,Kolkata Knight Riders,field,SRH,48.0,runs,209.0,2017,"['37th', 'match']"
37,League,Rohit Sharma,Wankhede,RCB,MI,Royal Challengers Bangalore,bat,MI,5.0,wicket,162.0,2017,"['38th', 'match']"
38,League,Ben Stokes,Pune,GL,RPS,Rising Pune Supergiant,field,Supergiant,5.0,wicket,161.0,2017,"['39th', 'match']"
39,League,Mohammed Shami,Delhi,SRH,DC,Delhi Daredevils,field,Daredevils,6.0,wicket,185.0,2017,"['40th', 'match']"
40,League,Rahul Tripathi,Eden Gardens,KKR,RPS,Rising Pune Supergiant,field,Supergiant,4.0,wicket,155.0,2017,"['41st', 'match']"
41,League,Rishabh Pant,Delhi,GL,DC,Delhi Daredevils,field,Daredevils,7.0,wicket,208.0,2017,"['42nd', 'match']"
42,League,Sandeep Sharma,Bengaluru,KXIP,RCB,Royal Challengers Bangalore,field,Kings,19.0,runs,138.0,2017,"['43rd', 'match']"
43,League,Jaydev Unadkat,Hyderabad,RPS,SRH,Sunrisers Hyderabad,field,Supergiant,12.0,runs,148.0,2017,"['44th', 'match']"
44,League,Lendl Simmons,Delhi,MI,DC,Delhi Daredevils,field,MI,146.0,runs,212.0,2017,"['45th', 'match']"
45,League,Sunil Narine,Bengaluru,RCB,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,158.0,2017,"['46th', 'match']"
46,League,Dwayne Smith,Mohali,KXIP,GL,Gujarat Lions,field,Guj,6.0,wicket,189.0,2017,"['47th', 'match']"
47,League,Shikhar Dhawan,Hyderabad,MI,SRH,Mumbai Indians,bat,SRH,7.0,wicket,138.0,2017,"['48th', 'match']"
48,League,Mohit Sharma,Mohali,KXIP,KKR,Kolkata Knight Riders,field,Kings,14.0,runs,167.0,2017,"['49th', 'match']"
49,League,Shreyas Iyer,Kanpur,GL,DC,Delhi Daredevils,field,Daredevils,2.0,wicket,195.0,2017,"['50th', 'match']"
50,League,Wriddhiman Saha,Wankhede,KXIP,MI,Mumbai Indians,field,Kings,7.0,runs,230.0,2017,"['51st', 'match']"
51,League,Karun Nair,Delhi,DC,RPS,Delhi Daredevils,bat,Daredevils,7.0,runs,168.0,2017,"['52nd', 'match']"
52,League,Mohammed Siraj,Kanpur,GL,SRH,Sunrisers Hyderabad,field,SRH,8.0,wicket,154.0,2017,"['53rd', 'match']"
53,League,Ambati Rayudu,Eden Gardens,MI,KKR,Kolkata Knight Riders,field,MI,9.0,runs,173.0,2017,"['54th', 'match']"
54,League,Jaydev Unadkat,Pune,KXIP,RPS,Rising Pune Supergiant,field,Supergiant,9.0,wicket,73.0,2017,"['55th', 'match']"
55,League,Harshal Patel,Delhi,RCB,DC,Royal Challengers Bangalore,bat,RCB,10.0,runs,161.0,2017,"['56th', 'match']"
56,Qualifier 1,Washington Sundar,Wankhede,RPS,MI,Mumbai Indians,field,Supergiant,20.0,runs,162.0,2017,Qualifier 1
57,Eliminator,Nathan Coulter-Nile,Bengaluru,SRH,KKR,Kolkata Knight Riders,field,KKR,7.0,wicket,128.0,2017,Eliminator
58,Qualifier 2,Karn Sharma,Bengaluru,KKR,MI,Mumbai Indians,field,MI,6.0,wicket,107.0,2017,Qualifier 2
59,Final,Mitchell Johnson,Hyderabad,MI,RPS,Mumbai Indians,bat,MI,1.0,runs,129.0,2017,Final
0,League,Dwayne Bravo,Wankhede,MI,CSK,Chennai Super Kings,field,CSK,1.0,wicket,165.0,2018,"['1st', 'match']"
1,League,KL Rahul,Mohali,DC,KXIP,Kings XI Punjab,field,Kings,6.0,wicket,166.0,2018,"['2nd', 'match']"
2,League,Sunil Narine,Eden Gardens,RCB,KKR,Kolkata Knight Riders,field,KKR,4.0,wicket,176.0,2018,"['3rd', 'match']"
3,League,Shikhar Dhawan,Hyderabad,RR,SRH,Sunrisers Hyderabad,field,SRH,9.0,wicket,125.0,2018,"['4th', 'match']"
4,League,Sam Billings,Chennai,KKR,CSK,Chennai Super Kings,field,CSK,5.0,wicket,202.0,2018,"['5th', 'match']"
5,League,Sanju Samson,Jaipur,RR,DC,Delhi Daredevils,field,RR,10.0,runs,153.0,2018,"['6th', 'match']"
6,League,Rashid Khan,Hyderabad,MI,SRH,Sunrisers Hyderabad,field,SRH,1.0,wicket,147.0,2018,"['7th', 'match']"
7,League,Umesh Yadav,Bengaluru,KXIP,RCB,Royal Challengers Bangalore,field,RCB,4.0,wicket,155.0,2018,"['8th', 'match']"
8,League,Jason Roy,Wankhede,MI,DC,Delhi Daredevils,field,Daredevils,7.0,wicket,194.0,2018,"['9th', 'match']"
9,League,Billy Stanlake,Eden Gardens,KKR,SRH,Sunrisers Hyderabad,field,SRH,5.0,wicket,138.0,2018,"['10th', 'match']"
10,League,Sanju Samson,Bengaluru,RR,RCB,Royal Challengers Bangalore,field,RR,19.0,runs,217.0,2018,"['11th', 'match']"
11,League,Chris Gayle,Mohali,KXIP,CSK,Chennai Super Kings,field,Kings,4.0,runs,197.0,2018,"['12th', 'match']"
12,League,Nitish Rana,Eden Gardens,KKR,DC,Delhi Daredevils,field,KKR,71.0,runs,200.0,2018,"['13th', 'match']"
13,League,Rohit Sharma,Wankhede,MI,RCB,Royal Challengers Bangalore,field,MI,46.0,runs,213.0,2018,"['14th', 'match']"
14,League,Nitish Rana,Jaipur,RR,KKR,Kolkata Knight Riders,field,KKR,7.0,wicket,160.0,2018,"['15th', 'match']"
15,League,Chris Gayle,Mohali,KXIP,SRH,Kings XI Punjab,bat,Kings,15.0,runs,193.0,2018,"['16th', 'match']"
16,League,Shane Watson,Pune,CSK,RR,Rajasthan Royals,field,CSK,64.0,runs,204.0,2018,"['17th', 'match']"
17,League,KL Rahul,Eden Gardens,KKR,KXIP,Kings XI Punjab,field,Kings,9.0,wicket,191.0,2018,"['18th', 'match']"
18,League,AB de Villiers,Bengaluru,DC,RCB,Royal Challengers Bangalore,field,RCB,6.0,wicket,174.0,2018,"['19th', 'match']"
19,League,Ambati Rayudu,Hyderabad,CSK,SRH,Sunrisers Hyderabad,field,CSK,4.0,runs,182.0,2018,"['20th', 'match']"
20,League,Jofra Archer,Jaipur,MI,RR,Mumbai Indians,bat,RR,3.0,wicket,167.0,2018,"['21st', 'match']"
21,League,Ankit Rajpoot,Delhi,KXIP,DC,Delhi Daredevils,field,Kings,4.0,runs,143.0,2018,"['22nd', 'match']"
22,League,Rashid Khan,Wankhede,SRH,MI,Mumbai Indians,field,SRH,31.0,runs,118.0,2018,"['23rd', 'match']"
23,League,MS Dhoni,Bengaluru,RCB,CSK,Chennai Super Kings,field,CSK,5.0,wicket,205.0,2018,"['24th', 'match']"
24,League,Ankit Rajpoot,Hyderabad,SRH,KXIP,Kings XI Punjab,field,SRH,13.0,runs,132.0,2018,"['25th', 'match']"
25,League,Shreyas Iyer,Delhi,DC,KKR,Kolkata Knight Riders,field,Daredevils,55.0,runs,219.0,2018,"['26th', 'match']"
26,League,Rohit Sharma,Pune,CSK,MI,Mumbai Indians,field,MI,8.0,wicket,169.0,2018,"['27th', 'match']"
27,League,Kane Williamson,Jaipur,SRH,RR,Sunrisers Hyderabad,bat,SRH,11.0,runs,151.0,2018,"['28th', 'match']"
28,League,Chris Lynn,Bengaluru,RCB,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,175.0,2018,"['29th', 'match']"
29,League,Shane Watson,Pune,CSK,DC,Delhi Daredevils,field,CSK,13.0,runs,211.0,2018,"['30th', 'match']"
30,League,Tim Southee,Bengaluru,RCB,MI,Mumbai Indians,field,RCB,14.0,runs,167.0,2018,"['31st', 'match']"
