Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
League,Munaf Patel,Wankhede,PWI,MI,Pune Warriors,bat,MI,7,wicket,118,2011,"['21st', 'match']"
League,Mahela Jayawardene,Eden Gardens,Kochi,KKR,Kolkata Knight Riders,field,Kochi,6,runs,132,2011,"['22nd', 'match']"
League,Shaun Marsh,Mohali,KXIP,RR,Rajasthan Royals,field,Kings,48,runs,195,2011,"['23rd', 'match']"
League,Chris Gayle,Eden Gardens,KKR,RCB,Royal Challengers Bangalore,field,RCB,9,wicket,171,2011,"['24th', 'match']"
League,Harbhajan Singh,Wankhede,MI,CSK,Chennai Super Kings,field,MI,8,runs,164,2011,"['25th', 'match']"
League,David Warner,Delhi,DC,KXIP,Kings XI Punjab,field,Daredevils,29,runs,231,2011,"['26th', 'match']"
League,Lasith Malinga,Hyderabad,MI,DCH,Deccan Chargers,field,MI,37,runs,172,2011,"['27th', 'match']"
League,Shane Warne,Jaipur,Kochi,RR,Rajasthan Royals,field,RR,8,wicket,109,2011,"['28th', 'match']"
League,Michael Hussey,Chennai,CSK,PWI,Pune Warriors,field,CSK,25,runs,142,2011,"['29th', 'match']"
League,Virat Kohli,Delhi,DC,RCB,Royal Challengers Bangalore,field,RCB,3,wicket,160,2011,"['30th', 'match']"
League,Doug Bollinger,DY Patil,PWI,CSK,Pune Warriors,bat,CSK,8,wicket,141,2011,"['31st', 'match']"
League,Ishant Sharma,Kochi,DCH,Kochi,Kochi Tuskers Kerala,field,Chargers,55,runs,129,2011,"['32nd', 'match']"
League,Manoj Tiwary,Delhi,KKR,DC,Delhi Daredevils,field,KKR,17,runs,148,2011,"['33rd', 'match']"
League,Johan Botha,Jaipur,MI,RR,Rajasthan Royals,field,RR,7,wicket,94,2011,"['34th', 'match']"
League,Virat Kohli,Bengaluru,RCB,PWI,Pune Warriors,field,RCB,26,runs,181,2011,"['35th', 'match']"
League,Virender Sehwag,Kochi,DC,Kochi,Delhi Daredevils,bat,Daredevils,38,runs,157,2011,"['36th', 'match']"
League,Iqbal Abdulla,Eden Gardens,KXIP,KKR,Kolkata Knight Riders,field,KKR,8,wicket,119,2011,"['37th', 'match']"
League,Ross Taylor,Jaipur,PWI,RR,Rajasthan Royals,field,RR,6,wicket,143,2011,"['38th', 'match']"
League,Albie Morkel,Chennai,CSK,DCH,Chennai Super Kings,bat,CSK,19,runs,165,2011,"['39th', 'match']"
League,Kieron Pollard,Wankhede,MI,KXIP,Kings XI Punjab,field,MI,23,runs,159,2011,"['40th', 'match']"
League,Prasanth Parameswaran,Delhi,DC,Kochi,Kochi Tuskers Kerala,field,Kochi,7,wicket,140,2011,"['41st', 'match']"
League,Yusuf Pathan,Hyderabad,KKR,DCH,Deccan Chargers,field,KKR,20,runs,169,2011,"['42nd', 'match']"
League,Michael Hussey,Chennai,RR,CSK,Rajasthan Royals,bat,CSK,8,wicket,147,2011,"['43rd', 'match']"
League,Rahul Sharma,DY Patil,MI,PWI,Pune Warriors,field,MI,21,runs,160,2011,"['44th', 'match']"
League,Brad Hodge,Kochi,Kochi,KKR,Kolkata Knight Riders,field,Kochi,17,runs,156,2011,"['45th', 'match']"
League,Virender Sehwag,Hyderabad,DCH,DC,Delhi Daredevils,field,Daredevils,4,wicket,175,2011,"['46th', 'match']"
League,Chris Gayle,Bengaluru,RCB,KXIP,Kings XI Punjab,field,RCB,85,runs,205,2011,"['47th', 'match']"
League,Iqbal Abdulla,Eden Gardens,CSK,KKR,Chennai Super Kings,bat,KKR,10,runs,114,2011,"['48th', 'match']"
League,Ambati Rayudu,Wankhede,MI,DC,Delhi Daredevils,field,MI,32,runs,178,2011,"['49th', 'match']"
League,Chris Gayle,Bengaluru,Kochi,RCB,Kochi Tuskers Kerala,bat,RCB,9,wicket,125,2011,"['50th', 'match']"
League,Rahul Sharma,Mohali,KXIP,PWI,Kings XI Punjab,bat,Warriors,5,wicket,119,2011,"['51st', 'match']"
League,Murali Vijay,Jaipur,CSK,RR,Rajasthan Royals,field,CSK,63,runs,196,2011,"['52nd', 'match']"
League,Mitchell Marsh,Hyderabad,DCH,PWI,Deccan Chargers,bat,Warriors,6,wicket,136,2011,"['53rd', 'match']"
League,Bhargav Bhatt,Mohali,KXIP,MI,Mumbai Indians,field,Kings,76,runs,163,2011,"['54th', 'match']"
League,Sreenath Aravind,Jaipur,RR,RCB,Royal Challengers Bangalore,field,RCB,9,wicket,146,2011,"['55th', 'match']"
League,MS Dhoni,Chennai,CSK,DC,Chennai Super Kings,bat,CSK,18,runs,176,2011,"['56th', 'match']"
League,Dinesh Karthik,Indore,Kochi,KXIP,Kings XI Punjab,field,Kings,6,wicket,178,2011,"['57th', 'match']"
League,Chris Gayle,Bengaluru,KKR,RCB,Royal Challengers Bangalore,field,RCB,4,wicket,89,2011,"['58th', 'match']"
League,Amit Mishra,Wankhede,DCH,MI,Deccan Chargers,bat,Chargers,10,runs,135,2011,"['59th', 'match']"
League,Piyush Chawla,Dharamsala,KXIP,DC,Delhi Daredevils,field,Kings,29,runs,170,2011,"['60th', 'match']"
League,Brad Hodge,Indore,RR,Kochi,Kochi Tuskers Kerala,field,Kochi,8,wicket,97,2011,"['61st', 'match']"
League,Amit Mishra,DY Patil,PWI,DCH,Deccan Chargers,field,Chargers,6,wicket,136,2011,"['62nd', 'match']"
League,Adam Gilchrist,Dharamsala,KXIP,RCB,Kings XI Punjab,bat,Kings,111,runs,232,2011,"['63rd', 'match']"
League,Wriddhiman Saha,Chennai,CSK,Kochi,Chennai Super Kings,bat,CSK,11,runs,152,2011,"['64th', 'match']"
League,Yusuf Pathan,DY Patil,PWI,KKR,Kolkata Knight Riders,field,KKR,7,wicket,118,2011,"['65th', 'match']"
League,Shane Watson,Wankhede,MI,RR,Mumbai Indians,bat,RR,10,wicket,133,2011,"['66th', 'match']"
League,Shikhar Dhawan,Dharamsala,DCH,KXIP,Kings XI Punjab,field,Chargers,82,runs,198,2011,"['67th', 'match']"
League,Chris Gayle,Bengaluru,CSK,RCB,Royal Challengers Bangalore,field,RCB,8,wicket,128,2011,"['69th', 'match']"
League,James Franklin,Eden Gardens,KKR,MI,Mumbai Indians,field,MI,5,wicket,175,2011,"['70th', 'match']"
Qualifier 1,Suresh Raina,Wankhede,RCB,CSK,Chennai Super Kings,field,CSK,6,wicket,175,2011,Qualifier 1
Eliminator,Munaf Patel,Wankhede,KKR,MI,Mumbai Indians,field,MI,4,wicket,147,2011,Eliminator
Qualifier 2,Chris Gayle,Chennai,RCB,MI,Mumbai Indians,field,RCB,43,runs,185,2011,Qualifier 2
Qualifier 1,Murali Vijay,Chennai,CSK,RCB,Chennai Super Kings,bat,CSK,58,runs,205,2011,Qualifier 1
