Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
League,Graeme Smith,Jaipur,RR,RCB,Royal Challengers Bangalore,field,RR,65,runs,197,2008,"['39th', 'match']"
League,Mahela Jayawardene,Delhi,DC,KXIP,Delhi Daredevils,bat,Kings,6,runs,118,2008,"['40th', 'match']"
League,Makhaya Ntini,Eden Gardens,KKR,CSK,Kolkata Knight Riders,bat,CSK,3,runs,149,2008,"['41st', 'match']"
League,Dwayne Bravo,Hyderabad,MI,DCH,Deccan Chargers,field,MI,25,runs,178,2008,"['42nd', 'match']"
League,Shreevats Goswami,Bengaluru,RCB,DC,Delhi Daredevils,field,Daredevils,5,wicket,154,2008,"['43rd', 'match']"
League,Yusuf Pathan,Eden Gardens,KKR,RR,Rajasthan Royals,field,RR,6,wicket,147,2008,"['44th', 'match']"
League,Shaun Marsh,Wankhede,KXIP,MI,Mumbai Indians,field,Kings,1,runs,189,2008,"['45th', 'match']"
League,Anil Kumble,Chennai,RCB,CSK,Royal Challengers Bangalore,bat,RCB,14,runs,126,2008,"['46th', 'match']"
League,Shaun Marsh,Mohali,DCH,KXIP,Kings XI Punjab,field,Kings,6,wicket,175,2008,"['48th', 'match']"
League,Albie Morkel,Chennai,RR,CSK,Rajasthan Royals,bat,RR,10,runs,211,2008,"['49th', 'match']"
League,Dinesh Karthik,Delhi,MI,DC,Delhi Daredevils,field,Daredevils,5,wicket,176,2008,"['50th', 'match']"
League,Vinay Kumar,Hyderabad,DCH,RCB,Deccan Chargers,bat,RCB,5,wicket,165,2008,"['51st', 'match']"
League,Umar Gul,Eden Gardens,KXIP,KKR,Kings XI Punjab,bat,KKR,3,wicket,174,2008,"['52nd', 'match']"
League,Sohail Tanvir,Jaipur,MI,RR,Rajasthan Royals,field,RR,5,wicket,145,2008,"['53rd', 'match']"
