Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
Qualifier 1,David Miller, Eden Gardens,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,7 Wickets,Wickets,189,71,2022
Eliminator,Rajat Patidar, Eden Gardens,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Field_First,Royal Challengers Bangalore,14 Runs,Runs,208,72,2022
Qualifier 2,Jos Buttler, Ahmedabad,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,7 Wickets,Wickets,158,73,2022
Final,Hardik Pandya, Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Bat_First,Gujarat Titans,7 Wickets,Wickets,131,74,2022
League,Rashid Khan, Ahmedabad,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,5 Wickets,Wickets,179,1,2023
League,Arshdeep Singh, Mohali,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Punjab Kings,45 Runs,Runs,192,2,2023
League,Mark Wood, Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Field_First,Lucknow Super Giants,50 Runs,Runs,194,3,2023
League,Jos Buttler, Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Rajasthan Royals,72 Runs,Runs,204,4,2023
League,Faf du Plessis, Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Royal Challengers Bangalore,8 Wickets,Wickets,172,5,2023
League,Moeen Ali, Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Field_First,Chennai Super Kings,12 Runs,Runs,218,6,2023
League,Sai Sudharsan, Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,6 Wickets,Wickets,163,7,2023
League,Nathan Ellis, Guwahati,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field_First,Punjab Kings,5 Runs,Runs,198,8,2023
League,Shardul Thakur, Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Kolkata Knight Riders,81 Runs,Runs,205,9,2023
League,Krunal Pandya, Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Bat_First,Lucknow Super Giants,5 Wickets,Wickets,122,10,2023
League,Yashasvi Jaiswal, Guwahati,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field_First,Rajasthan Royals,57 Runs,Runs,200,11,2023
League,Ravindra Jadeja, Wankhede,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,7 Wickets,Wickets,158,12,2023
League,Rinku Singh, Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Bat_First,Kolkata Knight Riders,3 Wickets,Wickets,205,13,2023
League,Shikhar Dhawan, Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Sunrisers Hyderabad,8 Wickets,Wickets,144,14,2023
League,Nicholas Pooran, Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Field_First,Lucknow Super Giants,1 Wickets,Wickets,213,15,2023
League,Rohit Sharma, Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,6 Wickets,Wickets,173,16,2023
